AHS11, 01, 1, 0, Karp, Art Appreciation, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128221&type=d&pREC_ID=254100
AHS11, 02, 2, 0, Barrow, Art Appreciation, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128221&type=d&pREC_ID=254100
AHS11, 03, 3, 0, Barrow, Art Appreciation, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128221&type=d&pREC_ID=254100
AHS11, 04, 3, 0, Karp, Art Appreciation, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128221&type=d&pREC_ID=254100
AHS11, 05, 4, 0, Karp, Art Appreciation, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128221&type=d&pREC_ID=254100
AHS11, 06, 5, 0, Barrow, Art Appreciation, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128221&type=d&pREC_ID=254100
AHS11, 07, 6, 0, Barrow, Art Appreciation, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128221&type=d&pREC_ID=254100
AHS11, 08, 7, 0, Cappell, Art Appreciation, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128221&type=d&pREC_ID=254100
AHS11, 09, 8, 0, Bernstein, Art Appreciation, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128221&type=d&pREC_ID=254100
AHS11, 10, 8, 0, Cappell, Art Appreciation, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128221&type=d&pREC_ID=254100
AHS11, 11, 9, 0, Barrow, Art Appreciation, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128221&type=d&pREC_ID=254100
AHS11, 12, 9, 0, Bernstein, Art Appreciation, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128221&type=d&pREC_ID=254100
AHS11, 13, 10, 0, Bernstein, Art Appreciation, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128221&type=d&pREC_ID=254100
ANS11QAS, 01, 3, 0, Bernstein, Studio Art: Mixed Media, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128221&type=d&pREC_ID=254103
ANS11QAS, 02, 5, 0, Bernstein, Studio Art: Mixed Media, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128221&type=d&pREC_ID=254103
APS11QWC, 01, 6, 0, Karp, Water Color, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128221&type=d&termREC_ID=&pREC_ID=263527
APS11QWC, 02, 7, 0, Karp, Water Color, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128221&type=d&termREC_ID=&pREC_ID=263527
APS22QAP, 01, 1, 0, Cappell, Acrylic Painting, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128221&type=d&pREC_ID=254098
APS22QAP, 02, 2, 0, Cappell, Acrylic Painting, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128221&type=d&pREC_ID=254098
AUS11QCG, 01, 4, 0, Cappell, Computer Graphics Design, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128221&type=d&pREC_ID=254101
E2FC, 01, 1, 0, Ferencz, Freshman Composition, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&pREC_ID=253629
E2FC, 02, 1, 0, Henderson, Freshman Composition, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&pREC_ID=253629
E2FC, 03, 1, 0, Nieves, Freshman Composition, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&pREC_ID=253629
E2FC, 04, 2, 0, Nieves, Freshman Composition, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&pREC_ID=253629
E2FC, 05, 2, 0, Schechter, Freshman Composition, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&pREC_ID=253629
E2FC, 06, 2, 0, Weil, Freshman Composition, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&pREC_ID=253629
E2FC, 07, 3, 0, La Bonne, Freshman Composition, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&pREC_ID=253629
E2FC, 08, 3, 0, Moore, Freshman Composition, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&pREC_ID=253629
E2FC, 09, 3, 0, Weil, Freshman Composition, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&pREC_ID=253629
E2FC, 10, 4, 0, Bonsignore, Freshman Composition, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&pREC_ID=253629
E2FC, 11, 4, 0, Ferencz, Freshman Composition, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&pREC_ID=253629
E2FC, 12, 4, 0, Oberfield, Freshman Composition, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&pREC_ID=253629
E2FC, 13, 5, 0, Bonsignore, Freshman Composition, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&pREC_ID=253629
E2FC, 14, 5, 0, La Bonne, Freshman Composition, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&pREC_ID=253629
E2FC, 15, 5, 0, Oberfield, Freshman Composition, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&pREC_ID=253629
E2FC, 16, 6, 0, Garfinkel, Freshman Composition, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&pREC_ID=253629
E2FC, 17, 6, 0, Henderson, Freshman Composition, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&pREC_ID=253629
E2FC, 18, 6, 0, Manning, Freshman Composition, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&pREC_ID=253629
E2FC, 19, 7, 0, Fletcher, Freshman Composition, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&pREC_ID=253629
E2FC, 20, 7, 0, Garfinkel, Freshman Composition, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&pREC_ID=253629
E2FC, 21, 7, 0, Henderson, Freshman Composition, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&pREC_ID=253629
E2FC, 22, 8, 0, La Bonne, Freshman Composition, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&pREC_ID=253629
E2FC, 23, 8, 0, Nieves, Freshman Composition, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&pREC_ID=253629
E2FC, 24, 8, 0, Schechter, Freshman Composition, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&pREC_ID=253629
E2FC, 25, 9, 0, Bonsignore, Freshman Composition, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&pREC_ID=253629
E2FC, 26, 9, 0, Manning, Freshman Composition, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&pREC_ID=253629
E2FC, 27, 9, 0, Weil, Freshman Composition, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&pREC_ID=253629
E2FC, 28, 10, 0, Fletcher, Freshman Composition, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&pREC_ID=253629
E2FC, 29, 10, 0, Moore, Freshman Composition, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&pREC_ID=253629
E4EL, 01, 1, 0, Schechter, European Literature, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&pREC_ID=253630
E4EL, 02, 2, 0, Moore, European Literature, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&pREC_ID=253630
E4EL, 03, 3, 0, Grossman, European Literature, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&pREC_ID=253630
E4EL, 04, 4, 0, Manning, European Literature, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&pREC_ID=253630
E4EL, 05, 5, 0, Mazzurco, European Literature, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&pREC_ID=253630
E4EL, 06, 6, 0, Mazzurco, European Literature, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&pREC_ID=253630
E4EL, 07, 7, 0, Francis, European Literature, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&pREC_ID=253630
E4EL, 08, 9, 0, Francis, European Literature, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&pREC_ID=253630
E4EL, 09, 10, 0, Manning, European Literature, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&pREC_ID=253630
E4ME, 01, 1, 0, Gerety, Modern European Literature, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&pREC_ID=253638
E4ME, 02, 2, 0, Gerety, Modern European Literature, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&pREC_ID=253638
E4ME, 03, 3, 0, Gerety, Modern European Literature, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&pREC_ID=253638
E4ME, 04, 3, 0, Swartz, Modern European Literature, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&pREC_ID=253638
E4ME, 05, 4, 0, Swartz, Modern European Literature, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&pREC_ID=253638
E4ME, 06, 5, 0, Ferencz, Modern European Literature, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&pREC_ID=253638
E4ME, 07, 5, 0, Mandler, Modern European Literature, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&pREC_ID=253638
E4ME, 08, 6, 0, Gern, Modern European Literature, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&pREC_ID=253638
E4ME, 09, 6, 0, Swartz, Modern European Literature, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&pREC_ID=253638
E4ME, 10, 7, 0, Mandler, Modern European Literature, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&pREC_ID=253638
E4ME, 11, 7, 0, Sheinman, Modern European Literature, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&pREC_ID=253638
E4ME, 12, 8, 0, Sheinman, Modern European Literature, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&pREC_ID=253638
E4ME, 13, 8, 0, Ferencz, Modern European Literature, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&pREC_ID=253638
E4ME, 14, 9, 0, Ferencz, Modern European Literature, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&pREC_ID=253638
E4ME, 15, 9, 0, Gern, Modern European Literature, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&pREC_ID=253638
E4ME, 16, 10, 0, Gern, Modern European Literature, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&pREC_ID=253638
E61X, 01, 6, 0, Nieves, AP English Language - American Literary History, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&pREC_ID=253644
E61X, 02, 7, 0, Nieves, AP English Language - American Literary History, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&pREC_ID=253644
E63X, 01, 2, 0, Garfinkel, AP English Language - Contemporaries and Classics, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&termREC_ID=&pREC_ID=264066
E63X, 02, 3, 0, Garfinkel, AP English Language - Contemporaries and Classics, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&termREC_ID=&pREC_ID=264066
E6X5, 01, 4, 0, Francis, AP English Language - American Studies, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&pREC_ID=253650
E6X5, 02, 5, 0, Francis, AP English Language - American Studies, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&pREC_ID=253650
E6AC, 01, 3, 0, Sheinman, Acting Workshop, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&pREC_ID=253658
E6AC, 02, 4, 0, Sheinman, Acting Workshop, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&pREC_ID=253658
E6DF, 01, 2, 0, Halperin, Detective Fiction, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&pREC_ID=253661
E6DF, 02, 8, 0, Halperin, Detective Fiction, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&pREC_ID=253661
E6HA, 01, 7, 0, Oberfield, Asian American Literature, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&pREC_ID=253697
E6LA, 01, 1, 0, La Bonne, Later American Literature, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&termREC_ID=&pREC_ID=400057
